day,hour,value
Monday,0,5.945652173913044
Monday,1,6.054347826086956
Monday,2,0.625
Monday,3,0.17391304347826086
Monday,4,0.358695652173913
Monday,5,0.0
Monday,6,0.0
Monday,7,1.8206521739130435
Monday,8,43.233695652173914
Monday,9,75.94021739130434
Monday,10,33.27717391304348
Monday,11,9.048913043478262
Monday,12,28.119565217391305
Monday,13,12.820652173913043
Monday,14,9.565217391304348
Monday,15,15.13586956521739
Monday,16,27.972826086956523
Monday,17,52.625
Monday,18,152.7826086956522
Monday,19,113.1304347826087
Monday,20,24.206521739130434
Monday,21,42.766304347826086
Monday,22,25.04891304347826
Monday,23,8.625
Tuesday,0,35.72826086956522
Tuesday,1,8.358695652173912
Tuesday,2,4.461956521739131
Tuesday,3,0.0
Tuesday,4,0.20652173913043478
Tuesday,5,0.31521739130434784
Tuesday,6,0.31521739130434784
Tuesday,7,0.0
Tuesday,8,50.71195652173913
Tuesday,9,73.80978260869566
Tuesday,10,24.358695652173914
Tuesday,11,15.918478260869565
Tuesday,12,37.19565217391305
Tuesday,13,16.717391304347824
Tuesday,14,8.315217391304348
Tuesday,15,5.766304347826087
Tuesday,16,11.902173913043478
Tuesday,17,80.67391304347827
Tuesday,18,126.125
Tuesday,19,90.53804347826087
Tuesday,20,60.85326086956522
Tuesday,21,42.48913043478261
Tuesday,22,25.28804347826087
Tuesday,23,44.15217391304348
Friday,0,6.336956521739131
Friday,1,13.13586956521739
Friday,2,2.972826086956522
Friday,3,0.9782608695652174
Friday,4,0.0
Friday,5,0.0
Friday,6,0.0
Friday,7,0.0
Friday,8,57.983695652173914
Friday,9,54.07608695652174
Friday,10,48.79891304347826
Friday,11,27.46195652173913
Friday,12,42.38586956521739
Friday,13,39.619565217391305
Friday,14,31.934782608695652
Friday,15,31.51086956521739
Friday,16,63.71739130434783
Friday,17,101.81521739130434
Friday,18,83.33152173913044
Friday,19,58.79891304347826
Friday,20,54.26086956521739
Friday,21,41.34782608695652
Friday,22,52.869565217391305
Friday,23,48.32065217391305
Wednesday,0,11.28804347826087
Wednesday,1,10.51086956521739
Wednesday,2,2.2119565217391304
Wednesday,3,0.5978260869565217
Wednesday,4,0.17391304347826086
Wednesday,5,0.0
Wednesday,6,0.0
Wednesday,7,0.0
Wednesday,8,57.04347826086956
Wednesday,9,87.15760869565217
Wednesday,10,40.66304347826087
Wednesday,11,6.032608695652174
Wednesday,12,20.89673913043478
Wednesday,13,33.83152173913044
Wednesday,14,25.554347826086957
Wednesday,15,29.065217391304348
Wednesday,16,27.467391304347824
Wednesday,17,49.57065217391305
Wednesday,18,182.5326086956522
Wednesday,19,62.69021739130435
Wednesday,20,74.97826086956522
Wednesday,21,56.266304347826086
Wednesday,22,49.51086956521739
Wednesday,23,22.358695652173914
Thursday,0,7.298913043478261
Thursday,1,8.016304347826088
Thursday,2,3.141304347826087
Thursday,3,5.320652173913044
Thursday,4,0.1358695652173913
Thursday,5,0.0
Thursday,6,0.0
Thursday,7,0.14673913043478262
Thursday,8,64.5
Thursday,9,64.5163043478261
Thursday,10,36.69021739130435
Thursday,11,9.96195652173913
Thursday,12,34.03260869565217
Thursday,13,4.217391304347826
Thursday,14,19.282608695652176
Thursday,15,10.831521739130435
Thursday,16,20.092391304347824
Thursday,17,59.858695652173914
Thursday,18,83.83695652173913
Thursday,19,55.78260869565217
Thursday,20,57.72282608695652
Thursday,21,25.67391304347826
Thursday,22,33.34239130434783
Thursday,23,17.331521739130434
Sunday,0,11.521739130434783
Sunday,1,6.440217391304348
Sunday,2,10.478260869565217
Sunday,3,13.467391304347826
Sunday,4,0.0
Sunday,5,14.097826086956522
Sunday,6,28.51086956521739
Sunday,7,9.429347826086957
Sunday,8,3.891304347826087
Sunday,9,9.380434782608695
Sunday,10,1.1793478260869565
Sunday,11,19.875
Sunday,12,62.994565217391305
Sunday,13,104.18478260869566
Sunday,14,102.7445652173913
Sunday,15,91.09239130434783
Sunday,16,53.108695652173914
Sunday,17,74.63586956521739
Sunday,18,52.28804347826087
Sunday,19,18.168478260869566
Sunday,20,51.80434782608695
Sunday,21,51.22826086956522
Sunday,22,30.847826086956523
Sunday,23,25.342391304347824
Saturday,0,63.54891304347826
Saturday,1,22.52173913043478
Saturday,2,12.923913043478262
Saturday,3,0.08695652173913043
Saturday,4,0.13043478260869565
Saturday,5,12.923913043478262
Saturday,6,9.01086956521739
Saturday,7,1.5434782608695652
Saturday,8,16.91304347826087
Saturday,9,21.347826086956523
Saturday,10,34.79891304347826
Saturday,11,57.78804347826087
Saturday,12,62.79347826086956
Saturday,13,78.20652173913044
Saturday,14,118.29891304347827
Saturday,15,54.13586956521739
Saturday,16,69.70652173913044
Saturday,17,82.6413043478261
Saturday,18,68.33695652173913
Saturday,19,57.44021739130435
Saturday,20,31.28804347826087
Saturday,21,80.28260869565217
Saturday,22,58.73913043478261
Saturday,23,27.46195652173913
