date,day,steps
2015-04-27,Monday,5942
2015-04-28,Tuesday,11451
2015-04-29,Wednesday,6542
2015-04-30,Thursday,7079
2015-05-01,Friday,7927
2015-05-02,Saturday,4766
2015-05-03,Sunday,6610
2015-05-04,Monday,6325
2015-05-05,Tuesday,9933
2015-05-06,Wednesday,4783
2015-05-07,Thursday,7277
2015-05-08,Friday,7165
2015-05-09,Saturday,5092
2015-05-10,Sunday,7114
2015-05-11,Monday,15345
2015-05-12,Tuesday,6393
2015-05-13,Wednesday,3472
2015-05-14,Thursday,2835
2015-05-15,Friday,7413
2015-05-16,Saturday,22391
2015-05-17,Sunday,10877
2015-05-18,Monday,19373
2015-05-19,Tuesday,14975
2015-05-20,Wednesday,8461
2015-05-21,Thursday,23925
2015-05-22,Friday,21238
2015-05-23,Saturday,8263
2015-05-24,Sunday,10975
2015-05-25,Monday,11749
2015-05-26,Tuesday,23740
2015-05-27,Wednesday,6580
2015-05-28,Thursday,10275
2015-05-29,Friday,9407
2015-05-30,Saturday,8406
2015-05-31,Sunday,9541
2015-06-01,Monday,4751
2015-06-02,Tuesday,4200
2015-06-03,Wednesday,6914
2015-06-04,Thursday,6276
2015-06-05,Friday,9528
2015-06-06,Saturday,8489
2015-06-07,Sunday,11712
2015-06-08,Monday,4585
2015-06-09,Tuesday,3999
2015-06-10,Wednesday,4402
2015-06-11,Thursday,4253
2015-06-12,Friday,6289
2015-06-13,Saturday,9191
2015-06-14,Sunday,8256
2015-06-15,Monday,6773
2015-06-16,Tuesday,5407
2015-06-17,Wednesday,7434
2015-06-18,Thursday,5908
2015-06-19,Friday,8693
2015-06-20,Saturday,9146
2015-06-21,Sunday,3639
2015-06-22,Monday,4264
2015-06-23,Tuesday,3585
2015-06-24,Wednesday,5793
2015-06-25,Thursday,3684
2015-06-26,Friday,15876
2015-06-27,Saturday,12206
2015-06-28,Sunday,7822
2015-06-29,Monday,6525
2015-06-30,Tuesday,7607
2015-07-01,Wednesday,3608
2015-07-02,Thursday,5870
2015-07-03,Friday,2179
2015-07-04,Saturday,2971
2015-07-05,Sunday,9797
2015-07-06,Monday,1314
2015-07-07,Tuesday,3464
2015-07-08,Wednesday,3288
2015-07-09,Thursday,4992
2015-07-10,Friday,10010
2015-07-11,Saturday,11726
2015-07-12,Sunday,6859
2015-07-13,Monday,5593
2015-07-14,Tuesday,3996
2015-07-15,Wednesday,6602
2015-07-16,Thursday,4546
2015-07-17,Friday,3825
2015-07-18,Saturday,13420
2015-07-19,Sunday,10503
2015-07-20,Monday,4625
2015-07-21,Tuesday,4324
2015-07-22,Wednesday,8140
2015-07-23,Thursday,3742
2015-07-24,Friday,7059
2015-07-25,Saturday,5686
2015-07-26,Sunday,5733
2015-07-27,Monday,5890
2015-07-28,Tuesday,7266
2015-07-29,Wednesday,6974
2015-07-30,Thursday,3336
2015-07-31,Friday,5434
2015-08-01,Saturday,6790
2015-08-02,Sunday,5050
2015-08-03,Monday,8069
2015-08-04,Tuesday,4108
2015-08-05,Wednesday,12565
2015-08-06,Thursday,6400
2015-08-07,Friday,5582
2015-08-08,Saturday,11756
2015-08-09,Sunday,10891
2015-08-10,Monday,5419
2015-08-11,Tuesday,12309
2015-08-12,Wednesday,6262
2015-08-13,Thursday,5273
2015-08-14,Friday,7640
2015-08-15,Saturday,9486
2015-08-16,Sunday,562
2015-08-17,Monday,1270
2015-08-18,Tuesday,7138
2015-08-19,Wednesday,2907
2015-08-20,Thursday,2350
2015-08-21,Friday,8724
2015-08-22,Saturday,1555
2015-08-23,Sunday,5832
2015-08-24,Monday,2331
2015-08-25,Tuesday,9357
2015-08-26,Wednesday,10341
2015-08-27,Thursday,8885
2015-08-28,Friday,9410
2015-08-29,Saturday,2593
2015-08-30,Sunday,4728
2015-08-31,Monday,647
